対象label（機種・データソース）,"2026/09/15 12:23~12:40仙台駅雨（motorola edge 40 neo・supplicant_data-SSID_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）,SSID
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",75,62.5,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,120,(遷移記録なし),9,7.5,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",9,7.5,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,120,"ASSOCIATING → ASSOCIATED → COMPLETED",9,7.5,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",2,1.7,SENDAI_free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED",1,0.8,TOHOKU_United_Free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.8,SENDAI_free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,0.8,TOHOKU_United_Free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.8,SENDAI_free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,0.8,TOHOKU_United_Free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,0.8,SENDAI_free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,0.8,TOHOKU_United_Free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.8,SENDAI_free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,0.8,TOHOKU_United_Free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.8,SENDAI_free_Wi-Fi
Open,120,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.8,TOHOKU_United_Free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → DISCONNECTED",1,0.8,SENDAI_free_Wi-Fi
Open,120,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,0.8,TOHOKU_United_Free_Wi-Fi
Open,120,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,0.8,SENDAI_free_Wi-Fi
Open,120,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.8,TOHOKU_United_Free_Wi-Fi
