対象label（機種・データソース）,"2026/09/16 07:54~08:04仙台駅（ASUS_I006D・supplicant_data-SSID_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）,SSID
Open,116,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",37,31.9,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,116,"ASSOCIATING → ASSOCIATED → COMPLETED",18,15.5,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,116,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",10,8.6,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,116,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",6,5.2,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,116,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",6,5.2,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,116,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",5,4.3,SENDAI_free_Wi-Fi
Open,116,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",5,4.3,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,116,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",3,2.6,SENDAI_free_Wi-Fi
Open,116,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",3,2.6,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,116,ASSOCIATING,3,2.6,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,116,"DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",2,1.7,TOHOKU_United_Free_Wi-Fi
Open,116,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",2,1.7,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,116,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,0.9,SENDAI_free_Wi-Fi
Open,116,"SCANNING → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",1,0.9,TOHOKU_United_Free_Wi-Fi
Open,116,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → SCANNING",1,0.9,TOHOKU_United_Free_Wi-Fi
Open,116,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,0.9,SENDAI_free_Wi-Fi
Open,116,"DISCONNECTED → ASSOCIATING",1,0.9,TOHOKU_United_Free_Wi-Fi
Open,116,"INTERFACE_DISABLED → DISCONNECTED",1,0.9,TOHOKU_United_Free_Wi-Fi
Open,116,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → SCANNING",1,0.9,TOHOKU_United_Free_Wi-Fi
Open,116,"INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",1,0.9,SENDAI_free_Wi-Fi
Open,116,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → SCANNING",1,0.9,SENDAI_free_Wi-Fi
Open,116,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → SCANNING",1,0.9,TOHOKU_United_Free_Wi-Fi
Open,116,"ASSOCIATING → DISCONNECTED → SCANNING",1,0.9,SENDAI_free_Wi-Fi
Open,116,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.9,TOHOKU_United_Free_Wi-Fi
Open,116,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,0.9,TOHOKU_United_Free_Wi-Fi
Open,116,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,0.9,TOHOKU_United_Free_Wi-Fi
Open,116,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.9,SENDAI_free_Wi-Fi
Open,116,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",1,0.9,TOHOKU_United_Free_Wi-Fi
