対象label（機種・データソース）,"2026/09/15 19:03~19:21仙台駅雨（ASUS_I006D・supplicant_data-SSID_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）,SSID
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",2,1.1,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",2,1.1,SENDAI_free_Wi-Fi
Open,187,"INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",1,0.5,SENDAI_free_Wi-Fi
Open,187,DISCONNECTED,1,0.5,TOHOKU_United_Free_Wi-Fi
Open,187,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,0.5,TOHOKU_United_Free_Wi-Fi
Open,187,"DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.5,SENDAI_free_Wi-Fi
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → DISCONNECTED → SCANNING",1,0.5,TOHOKU_United_Free_Wi-Fi
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → SCANNING",1,0.5,SENDAI_free_Wi-Fi
Open,187,"ASSOCIATING → DISCONNECTED",1,0.5,TOHOKU_United_Free_Wi-Fi
Open,187,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,0.5,SENDAI_free_Wi-Fi
Open,187,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,0.5,TOHOKU_United_Free_Wi-Fi
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,0.5,SENDAI_free_Wi-Fi
Open,187,"ASSOCIATING → DISCONNECTED → SCANNING",1,0.5,TOHOKU_United_Free_Wi-Fi
Open,187,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.5,SENDAI_free_Wi-Fi
Open,187,"SCANNING → DISCONNECTED",1,0.5,TOHOKU_United_Free_Wi-Fi
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,0.5,SENDAI_free_Wi-Fi
Open,187,"INTERFACE_DISABLED → DISCONNECTED",1,0.5,TOHOKU_United_Free_Wi-Fi
