対象label（機種・データソース）,"2026/09/15 19:03~19:21仙台駅雨（ASUS_I006D・supplicant_data-SSID_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）,SSID
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",43,23,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",18,9.6,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"ASSOCIATING → ASSOCIATED → COMPLETED",17,9.1,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",11,5.9,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",9,4.8,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",9,4.8,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,(遷移記録なし),9,4.8,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",7,3.7,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",6,3.2,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,ASSOCIATING,6,3.2,TOHOKU_United_Free_Wi-Fi
Open,187,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",6,3.2,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",5,2.7,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",3,1.6,SENDAI_free_Wi-Fi
Open,187,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",3,1.6,TOHOKU_United_Free_Wi-Fi
Open,187,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED → ASSOCIATING",3,1.6,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",3,1.6,SENDAI_free_Wi-Fi
Open,187,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",2,1.1,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",2,1.1,SENDAI_free_Wi-Fi
Open,187,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",2,1.1,TOHOKU_United_Free_Wi-Fi
Open,187,"DISCONNECTED → ASSOCIATING",2,1.1,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,187,"DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",2,1.1,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
