対象label（機種・データソース）,"2026/09/10 17:46~18:03仙台駅（ASUS_I006D・supplicant_data-SSID_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）,SSID
Open,58,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",18,31,SENDAI_free_Wi-Fi
Open,58,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → ASSOCIATED → COMPLETED",4,6.9,SENDAI_free_Wi-Fi
Open,58,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → ASSOCIATED → COMPLETED",3,5.2,SENDAI_free_Wi-Fi
Open,58,"ASSOCIATING → ASSOCIATED → COMPLETED",2,3.4,SENDAI_free_Wi-Fi
Open,58,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING",2,3.4,SENDAI_free_Wi-Fi
Open,58,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",2,3.4,SENDAI_free_Wi-Fi
Open,58,(遷移記録なし),1,1.7,SENDAI_free_Wi-Fi
Open,58,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING",1,1.7,SENDAI_free_Wi-Fi
Open,58,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,1.7,SENDAI_free_Wi-Fi
Open,58,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,1.7,SENDAI_free_Wi-Fi
Open,58,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → ASSOCIATED → COMPLETED",1,1.7,SENDAI_free_Wi-Fi
Open,58,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",1,1.7,SENDAI_free_Wi-Fi
Open,58,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → ASSOCIATED → COMPLETED",1,1.7,SENDAI_free_Wi-Fi
Open,58,"DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → ASSOCIATED → COMPLETED",1,1.7,SENDAI_free_Wi-Fi
Open,58,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → DISCONNECTED",1,1.7,SENDAI_free_Wi-Fi
