capabilities_raw	security	cnt	total_cnt	fluctuation
[RSN-SAE-CCMP][ESS][WPS]	Open	6	6	
[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS]	WPA2	6	6	
[WPA2-EAP-CCMP+TKIP][RSN-EAP-CCMP+TKIP][WPA-EAP-CCMP+TKIP][ESS]	WPA2	5	5	
[IBSS]	Open	4	4	
[RSN-OWE_TRANSITION-CCMP][ESS]	Open	4	4	
[WPA2-PSK-CCMP][RSN-PSK+SAE+FT/SAE-CCMP][ESS]	WPA2	4	4	
[RSN-OWE-CCMP][RSN-OWE_TRANSITION-CCMP][ESS]	Open	3	3	
[RSN-SAE-GCMP-256+CCMP][ESS]	Open	2	2	
[WPA2-EAP+FT/EAP+EAP-SHA256-CCMP][RSN-EAP+FT/EAP+EAP-SHA256-CCMP][ESS]	WPA2	2	2	
[RSN-EAP_SUITE_B_192-GCMP-256][ESS]	Open	1	1	
[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-TKIP][ESS][WPS]	WPA2	1	1	
[WPA2-PSK-SHA256-CCMP][RSN-PSK-SHA256-CCMP][ESS]	WPA2	1	1	
[WPA2-PSK-SHA256-CCMP][RSN-PSK-SHA256-CCMP][ESS][MFPR][MFPC]	WPA2	1	1	
